Name	BranchId	Rating	MinOrder	DeliveryTime	DeliveryFee	Category
Gourmet Grocery Supermarket	49447	4.5	3	Within 22 mins	0	Grocery , Supermarket
Farah Way Stores	676935	5	3	Within 25 mins	0	Supermarket, Grocery
Hypermax	698360	4.6	4	Within 32 mins	0	Grocery , Supermarket
Abu Odeh Stores gold	726851	4.8	3	Within 27 mins	0	Grocery , Supermarket
AlSaheel Supermarket	796372	4.6	3	Within 20 mins	0	Supermarket
My Market	644116	4.9	3	Within 37 mins	0	Grocery , Supermarket
JJ's Supermarket	770932	4.8	4	Within 27 mins	0	Supermarket, Beverages
Bustan	780383	5	2	Within 20 mins	0	Fruits & Vegetables, Butchery, Fresh Meat & Fish
JJ's Supermarket	717856	4.9	4	Within 32 mins	0	Grocery , Supermarket
Majd Al Deen Markets	790282	4.6	2	Within 20 mins	0	Hypermarket, Supermarket, Beverages
Al Raya Bakery	695241	4.4	3	Within 27 mins	0	Bread & Bakery, Breakfast, Desserts, Manaqeesh, Pastries, Sandwiches , Bakery and Cakes, Cakes and Desserts, Pastries & Sweets, Cakes
bon al Badawiya Coffee	46288	5	2	Within 12 mins	0	Coffee & Tea
Brazilian Coffee House	652243	4.9	3	Within 15 mins	0	Coffee & Tea, Coffee
Izhiman Premier	46490	4.8	3	Within 20 mins	0	Nuts & Dried Fruit
Saffaron Kingdom	48883	4.4	3	Within 32 mins	0	Nuts & Dried Fruit
Safeway	49320	4.6	4	Within 25 mins	0	Grocery , Hypermarket
AL Markazi Fruits	49701	3.9	4	Within 27 mins	0	Fruits & Vegetables, Grocery , Fresh Meat & Fish, Chicken
Paradise Bakeries	50365	4.2	3	Within 20 mins	0	Bread & Bakery, Breakfast, Manaqeesh, Pastries, Sandwiches , Bakery and Cakes, Cakes and Desserts, Pastries & Sweets, Arabic sweets, Cakes, Bakery
Forangy Bakery	650654	4.8	3	Within 22 mins	0	Bread & Bakery, Bakery, Breakfast, Manaqeesh, Pastries
Basman Roastery - Madina St	50638	5	3	Within 25 mins	0	Nuts & Dried Fruit
Izhiman`s Coffee	711506	4.6	3	Within 30 mins	0	Coffee & Tea, Coffee
Food Gate Market	766762	4.6	3	Within 30 mins	0	Supermarket
Centro	715604	4.8	3	Within 25 mins	0	Supermarket, Grocery
Grape for Fruits and Vegetables	732475	4.6	3	Within 15 mins	0	Fruits & Vegetables
